two_theta,neat_matrix,0.5wt_filler,1.0wt_filler
23.6,634.37,637.65,628.56
23.8,698.16,704.41,699.92
24.0,754.43,753.91,759.36
24.2,815.95,816.93,803.03
24.4,834.94,850.77,846.83
24.6,882.72,892.13,887.03
24.8,902.24,909.56,905.64
25.0,914.01,919.64,918.33
25.2,901.24,901.92,908.17
25.4,879.36,883.94,873.56
25.6,846.02,852.03,850.3
25.8,803.6,803.5,805.86
26.0,751.95,749.56,742.39
26.2,686.48,689.9,693.52
26.4,624.96,626.16,632.13
26.6,564.95,566.27,567.7
26.8,510.43,500.07,499.09
27.0,437.66,430.23,437.74
27.2,378.48,388.85,381.67
27.4,329.61,336.48,330.31
27.6,288.61,290.74,292.14
27.8,249.7,241.88,239.31
28.0,208.62,214.18,215.31
28.2,187.9,197.82,189.75
28.4,167.14,168.65,164.26
28.6,149.82,150.32,150.76
28.8,136.55,125.27,141.38
29.0,125.55,125.96,125.86
29.2,116.9,113.6,125.01
29.4,107.98,108.29,115.75
29.6,105.89,110.85,112.48
29.8,110.9,106.81,112.32
30.0,119.73,115.64,102.57
30.2,105.86,110.37,102.25
30.4,103.12,101.61,102.95
30.6,99.93,95.18,99.23
30.8,96.2,110.03,96.41
31.0,97.8,97.48,101.12
31.2,98.79,90.47,95.32
31.4,100.02,103.51,98.54
31.6,105.12,93.84,103.54
31.8,97.48,98.73,97.76
32.0,97.17,105.25,92.37
32.2,95.54,91.44,95.31
32.4,100.18,100.74,98.75
32.6,96.04,93.19,94.88
32.8,106.07,100.28,91.5
33.0,97.19,102.04,102.75
33.2,110.95,101.35,97.43
33.4,99.53,95.26,104.08
33.6,104.26,110.5,107.28
33.8,118.14,112.9,111.68
34.0,111.5,113.77,111.31
34.2,126.37,122.4,125.17
34.4,145.8,135.14,134.12
34.6,155.96,154.18,150.25
34.8,183.83,180.26,174.62
35.0,205.88,205.07,198.49
35.2,226.3,232.6,229.12
35.4,259.27,273.22,271.28
35.6,314.54,305.53,311.26
35.8,358.25,357.95,357.36
36.0,419.96,415.48,420.0
36.2,478.64,484.37,487.64
36.4,541.54,534.38,541.71
36.6,605.67,612.83,612.79
36.8,668.3,669.29,669.81
37.0,732.1,725.68,731.92
37.2,783.7,784.95,782.69
37.4,824.59,833.67,830.11
37.6,862.37,858.81,854.45
37.8,869.24,875.48,885.39
38.0,890.46,889.33,891.97
38.2,878.35,882.3,875.84
38.4,859.84,864.83,864.43
38.6,823.58,821.84,830.32
38.8,781.5,785.06,782.65
39.0,730.46,732.74,725.32
39.2,664.34,683.15,670.58
39.4,613.82,603.63,599.04
39.6,558.93,544.4,551.55
39.8,490.96,496.68,488.0
40.0,442.32,438.8,434.06
40.2,386.48,388.53,391.1
40.4,347.06,351.07,353.49
40.6,323.6,319.23,316.27
40.8,308.95,311.8,307.95
41.0,302.97,298.79,306.92
41.2,301.99,306.26,312.04
41.4,326.27,322.79,329.81
41.6,355.64,345.08,354.06
41.8,389.13,387.1,390.68
42.0,439.27,432.39,431.19
42.2,486.73,489.73,482.8
42.4,555.48,540.15,534.37
42.6,601.99,603.33,607.63
42.8,675.11,670.31,661.97
43.0,732.66,726.14,725.99
43.2,777.51,780.75,778.5
43.4,820.6,811.29,817.1
43.6,853.92,859.38,852.35
43.8,883.44,868.65,878.36
44.0,887.73,879.8,884.7
44.2,872.27,868.73,878.02
44.4,852.6,851.54,852.09
44.6,806.94,812.59,824.89
44.8,770.52,775.87,778.31
45.0,719.91,710.8,720.5
45.2,668.66,662.76,656.61
45.4,599.6,595.81,600.68
45.6,522.44,526.39,530.83
45.8,470.74,473.11,466.53
46.0,405.43,411.75,409.69
46.2,365.58,350.22,355.2
46.4,305.79,295.17,305.47
46.6,263.54,253.83,258.75
46.8,215.49,223.73,226.95
47.0,192.65,187.14,185.35
47.2,166.36,159.12,160.09
47.4,136.89,146.66,139.26
47.6,124.33,130.07,122.96
47.8,108.79,109.22,104.2
48.0,106.02,101.7,114.1
48.2,87.46,93.72,99.14
48.4,89.91,87.16,86.93
48.6,94.06,90.1,84.76
48.8,82.84,88.49,86.3
49.0,75.82,92.72,77.09
49.2,80.44,88.67,91.94
49.4,77.0,83.76,82.17
49.6,86.93,92.06,86.41
49.8,80.23,78.41,91.0
50.0,86.29,79.31,87.13
50.2,87.98,86.76,83.98
50.4,82.64,78.11,80.14
50.6,86.49,82.97,83.71
50.8,79.86,79.83,79.06
51.0,77.04,87.88,70.41
51.2,87.06,78.0,93.27
51.4,80.91,81.0,87.04
51.6,81.23,83.73,76.38
51.8,72.91,77.63,80.92
52.0,85.54,77.49,94.49
52.2,82.27,79.46,79.18
52.4,81.66,81.13,75.13
52.6,77.53,83.44,82.66
52.8,85.43,78.75,86.05
53.0,79.96,74.59,92.72
53.2,72.48,81.75,82.15
53.4,77.3,78.69,81.05
53.6,81.97,93.55,82.34
53.8,83.32,78.63,87.7
54.0,80.82,83.14,79.58
54.2,85.33,83.59,80.97
54.4,83.15,77.98,81.28
54.6,85.49,81.37,91.0
54.8,88.52,80.59,75.23
55.0,87.29,91.41,90.41
55.2,78.2,84.65,88.61
55.4,87.78,90.54,83.91
55.6,84.08,87.67,88.98
55.8,87.05,86.1,95.37
56.0,88.46,91.46,89.83
56.2,93.76,95.46,93.92
56.4,90.06,83.06,89.06
56.6,86.37,85.47,86.99
56.8,84.81,95.49,84.8
57.0,87.85,85.46,81.62
57.2,84.97,89.93,79.85
57.4,88.1,91.96,98.16
57.6,91.57,96.04,90.93
57.8,86.86,93.91,103.11
58.0,91.03,90.48,93.18
58.2,93.43,87.12,85.28
58.4,95.82,102.4,90.69
58.6,88.54,89.24,86.63
58.8,87.85,88.13,92.18
59.0,106.48,91.19,83.53
59.2,98.26,90.58,91.59
59.4,92.85,91.01,88.94
59.6,91.89,102.16,92.26
59.8,93.44,93.16,93.69
60.0,103.72,97.36,95.25
60.2,94.78,95.59,102.43
60.4,100.28,103.47,101.08
60.6,114.42,103.96,110.79
60.8,108.49,115.15,107.45
61.0,123.83,117.38,110.96
61.2,126.75,127.72,127.87
61.4,150.55,146.12,140.28
61.6,164.49,166.44,158.51
61.8,178.02,173.4,179.34
62.0,205.93,206.1,212.29
62.2,241.9,243.23,231.92
62.4,271.26,277.95,275.84
62.6,319.85,327.29,330.78
62.8,361.65,368.5,374.61
63.0,426.04,438.56,428.46
63.2,496.43,494.81,489.8
63.4,544.94,554.63,549.97
63.6,615.52,624.14,613.73
63.8,688.9,681.24,671.68
64.0,742.96,743.33,742.15
64.2,797.31,797.56,799.61
64.4,843.59,831.44,840.6
64.6,866.59,873.91,866.58
64.8,901.76,893.41,896.93
65.0,909.64,914.06,905.07
65.2,899.66,897.53,892.82
65.4,878.9,879.68,876.75
65.6,836.98,838.64,851.01
65.8,803.83,787.42,799.73
66.0,750.76,756.2,756.77
66.2,691.73,685.58,679.43
66.4,625.73,629.55,631.21
66.6,552.9,555.04,558.03
66.8,495.64,493.53,501.69
67.0,429.56,434.16,439.45
67.2,379.53,382.75,387.04
67.4,337.21,339.04,331.89
67.6,284.83,287.32,293.02
67.8,253.34,252.82,254.43
68.0,221.5,218.59,213.51
68.2,199.01,193.64,178.05
68.4,171.3,172.38,171.11
68.6,148.83,149.36,152.55
68.8,142.83,148.05,141.2
69.0,128.17,135.23,129.84
69.2,132.28,126.54,128.91
69.4,127.71,119.08,121.02
69.6,121.19,120.34,113.51
69.8,123.23,112.08,120.02
70.0,107.78,123.54,122.14
70.2,118.54,120.75,123.66
70.4,120.37,117.07,108.55
70.6,110.58,112.03,108.55
70.8,121.52,119.53,115.04
71.0,113.02,116.74,117.61
71.2,110.35,115.36,108.22
71.4,114.05,113.65,114.46
71.6,119.46,121.95,112.65
71.8,112.05,113.06,115.75
72.0,115.98,116.04,124.45
72.2,111.42,110.1,113.29
72.4,114.68,111.06,121.06
72.6,127.02,113.12,114.22
72.8,107.9,112.37,118.69
73.0,118.65,122.15,109.94
73.2,109.17,121.39,112.82
73.4,118.04,118.12,122.97
73.6,115.34,120.08,120.25
73.8,126.48,110.46,110.97
74.0,121.42,123.64,113.14
74.2,112.21,124.89,106.17
74.4,122.62,123.28,123.97
74.6,123.06,121.86,118.61
74.8,119.42,118.2,111.57
75.0,114.14,110.77,114.15
75.2,127.45,115.5,109.58
75.4,118.31,112.9,119.55
75.6,113.36,129.98,117.6
75.8,110.06,119.01,120.55
76.0,115.71,128.34,118.5
76.2,119.64,120.01,128.6
76.4,120.35,117.28,124.19
76.6,124.74,110.57,120.86
76.8,119.83,116.01,115.78
77.0,117.89,121.12,119.45
77.2,119.15,127.35,116.58
77.4,112.11,123.22,115.98
77.6,121.29,116.34,117.83
77.8,117.19,115.21,125.19
78.0,116.2,122.68,113.22
78.2,114.09,121.57,125.03
78.4,118.2,124.79,116.38
78.6,127.26,115.43,119.75
78.8,114.5,125.14,130.46
79.0,125.55,124.27,119.54
79.2,118.14,118.39,119.19
79.4,118.02,113.28,118.8
79.6,121.28,121.48,119.46
79.8,116.28,125.55,126.62
80.0,120.3,114.13,109.39
