strain,stress_MPa,work_hardening_MPa
0.04721,887.49,-2818.86
0.04807,884.95,-4251.84
0.04894,880.11,320.72
0.04981,885.50,1591.79
0.05068,882.87,1345.54
0.05155,887.84,1451.71
0.05241,885.39,60.53
0.05328,887.95,-220.22
0.05415,885.01,-2041.66
0.05502,884.40,1605.40
0.05589,887.80,1202.20
0.05675,886.49,-1846.66
0.05762,884.59,2531.66
0.05849,890.88,3927.53
0.05936,891.41,-1362.95
0.06022,888.52,-2413.13
0.06109,887.22,-1501.75
0.06196,885.91,1110.08
0.06283,889.15,1604.72
0.06370,888.70,2885.86
0.06456,894.16,1761.94
0.06543,891.75,-5389.29
0.06630,884.80,-2787.73
0.06717,886.91,3810.51
0.06804,891.41,-540.47
0.06890,885.98,1534.44
0.06977,894.08,704.32
0.07064,887.20,-5361.80
0.07151,884.77,3311.55
0.07238,892.95,3871.87
0.07324,891.49,849.09
0.07411,894.42,20.61
0.07498,891.53,-4063.84
0.07585,887.37,-1321.62
0.07672,889.23,1841.34
0.07758,890.56,1760.00
0.07845,892.29,138.74
0.07932,890.80,-178.72
0.08019,891.98,2934.11
0.08106,895.90,2860.71
0.08192,896.94,-4664.95
0.08279,887.80,-1382.58
0.08366,894.54,1297.96
0.08453,890.05,1755.36
0.08539,897.59,878.61
0.08626,891.58,-4999.35
0.08713,888.91,1318.11
0.08800,893.87,2648.93
0.08887,893.51,701.21
0.08973,895.08,72.28
0.09060,893.64,-470.54
0.09147,894.27,-1007.36
0.09234,891.89,61.40
0.09321,894.37,-528.00
0.09407,890.97,-2962.57
0.09494,889.23,-7.32
0.09581,890.96,-337.08
0.09668,888.65,2015.39
0.09755,894.46,1715.47
0.09841,891.62,-1014.58
0.09928,892.70,604.75
0.10015,892.67,2197.47
0.10102,896.51,-1646.73
0.10189,889.81,-706.86
0.10275,895.28,2991.86
0.10362,895.01,-1389.34
0.10449,892.87,1048.49
0.10536,896.83,-883.77
0.10623,891.34,-1218.56
0.10709,894.71,3424.21
0.10796,897.28,-2133.26
0.10883,891.01,-3593.46
0.10970,891.04,752.76
0.11057,892.32,1300.55
0.11143,893.30,638.97
0.11230,893.43,649.50
0.11317,894.43,-468.78
0.11404,892.61,-959.49
0.11490,892.76,-465.15
0.11577,891.80,701.40
0.11664,893.98,986.33
0.11751,893.52,2453.75
0.11838,898.24,2453.19
0.11924,897.78,-4171.42
0.12011,891.00,-1656.54
0.12098,894.90,2729.97
0.12185,895.74,2398.06
0.12272,899.06,2261.25
0.12358,899.66,198.48
0.12445,899.41,-3606.04
0.12532,893.40,-4415.91
0.12619,891.74,83.56
0.12706,893.55,282.81
0.12792,892.23,2478.35
0.12879,897.85,3340.00
0.12966,898.03,-2535.93
0.13053,893.45,-2753.63
0.13140,893.25,399.68
0.13226,894.14,3458.14
0.13313,899.25,-2066.89
0.13400,890.56,-348.18
0.13487,898.65,4910.46
0.13574,899.08,309.53
0.13660,899.19,-66.50
0.13747,898.96,89.74
0.13834,899.34,-1797.21
0.13921,895.84,-2603.00
0.14007,894.82,-2366.62
0.14094,891.74,414.09
0.14181,895.54,3513.68
0.14268,897.84,1330.78
0.14355,897.85,1287.10
0.14441,900.07,-497.06
0.14528,896.99,-573.82
0.14615,899.07,2146.70
0.14702,900.72,-591.56
0.14789,898.05,-2117.11
0.14875,897.04,-2565.49
0.14962,893.59,-1147.56
0.15049,895.05,4340.05
0.15136,901.13,2126.23
0.15223,898.74,-4667.06
0.15309,893.03,60.99
0.15396,898.85,1823.98
0.15483,896.19,1228.51
0.15570,900.98,292.22
0.15657,896.70,-1517.59
0.15743,898.34,3513.39
0.15830,902.80,1545.78
0.15917,901.03,-1787.76
0.16004,899.69,1419.12
0.16091,903.49,1630.80
0.16177,902.53,-4041.81
0.16264,896.47,-2187.59
0.16351,898.73,2074.38
0.16438,900.08,2285.59
0.16525,902.70,-957.81
0.16611,898.41,-4660.99
0.16698,894.60,1490.96
0.16785,901.00,2285.73
0.16872,898.57,1625.42
0.16958,903.82,-3480.48
0.17045,892.53,1137.08
0.17132,905.80,2848.05
0.17219,897.47,-7143.58
0.17306,893.40,1394.42
0.17392,899.89,5314.58
0.17479,902.62,-518.07
0.17566,899.00,86.31
0.17653,902.77,-407.64
0.17740,898.29,485.69
0.17826,903.61,428.73
0.17913,899.03,-1375.57
0.18000,901.23,2527.69
