strain,stress_MPa,work_hardening_MPa
0.04144,1012.80,-158.18
0.04200,1011.81,-110.13
0.04256,1012.68,177.84
0.04312,1012.01,-916.24
0.04369,1011.65,1351.48
0.04425,1013.53,2756.44
0.04481,1014.74,-1752.29
0.04537,1011.56,-5638.53
0.04593,1008.41,-453.11
0.04649,1011.06,5503.39
0.04705,1014.59,4579.58
0.04761,1016.20,-5051.66
0.04817,1008.92,-394.42
0.04874,1015.75,4391.41
0.04930,1013.85,-2518.27
0.04986,1012.93,-1451.39
0.05042,1012.22,2669.04
0.05098,1015.92,-1139.49
0.05154,1010.94,-1617.47
0.05210,1014.11,2069.51
0.05266,1013.26,1211.15
0.05322,1015.47,430.75
0.05379,1013.75,-3426.39
0.05435,1011.62,2744.13
0.05491,1016.83,4981.00
0.05547,1017.21,-2279.38
0.05603,1014.27,-3241.93
0.05659,1013.57,-138.65
0.05715,1014.11,2606.35
0.05771,1016.50,4479.63
0.05827,1019.14,-1879.14
0.05884,1014.39,-4372.73
0.05940,1014.23,-382.22
0.05996,1013.96,-899.79
0.06052,1013.22,250.77
0.06108,1014.24,1576.55
0.06164,1014.99,-4315.30
0.06220,1009.40,3902.20
0.06276,1019.37,2310.27
0.06332,1011.99,-3135.46
0.06389,1015.85,2069.16
0.06445,1014.31,-4015.26
0.06501,1011.35,3671.52
0.06557,1018.43,191.48
0.06613,1011.56,-2451.35
0.06669,1015.68,2965.09
0.06725,1014.89,-2966.79
0.06781,1012.35,-2926.44
0.06838,1011.61,3961.26
0.06894,1016.80,4181.76
0.06950,1016.30,1813.09
0.07006,1018.83,-3658.70
0.07062,1012.19,-3506.84
0.07118,1014.90,-691.57
0.07174,1011.42,-381.25
0.07230,1014.47,1227.83
0.07286,1012.79,4866.75
0.07343,1019.93,4561.64
0.07399,1017.91,-1469.54
0.07455,1018.28,-1245.25
0.07511,1016.52,678.98
0.07567,1019.04,-43.80
0.07623,1016.47,-5855.78
0.07679,1012.47,-141.91
0.07735,1016.31,7845.14
0.07791,1021.28,4286.74
0.07848,1021.12,-8784.13
0.07904,1011.42,-2731.13
0.07960,1018.05,8666.04
0.08016,1021.14,-3072.91
0.08072,1014.61,-7561.38
0.08128,1012.66,2316.87
0.08184,1017.21,5049.32
0.08240,1018.33,-3671.49
0.08296,1013.08,-4969.65
0.08353,1012.75,1396.19
0.08409,1014.65,1765.71
0.08465,1014.73,2576.36
0.08521,1017.54,6364.12
0.08577,1021.87,-1774.45
0.08633,1015.55,-4085.48
0.08689,1017.29,5391.75
0.08745,1021.60,503.97
0.08802,1017.85,-7329.39
0.08858,1013.38,-5534.06
0.08914,1011.64,3974.29
0.08970,1017.84,4532.48
0.09026,1016.73,-1199.98
0.09082,1016.49,1707.07
0.09138,1018.64,-4726.37
0.09194,1011.19,-2863.36
0.09250,1015.43,6198.94
0.09307,1018.14,686.44
0.09363,1016.20,-2524.46
0.09419,1015.31,-1870.67
0.09475,1014.10,518.61
0.09531,1015.89,2521.27
0.09587,1016.93,4028.62
0.09643,1020.41,-236.99
0.09699,1016.67,-5984.56
0.09755,1013.70,9732.79
0.09812,1027.59,4459.94
0.09868,1018.70,-12405.86
0.09924,1013.67,-899.52
0.09980,1017.69,2149.19
0.10036,1016.08,2644.72
0.10092,1020.66,2949.75
0.10148,1019.39,-3566.15
0.10204,1016.66,-3118.10
0.10260,1015.89,714.99
0.10317,1017.46,2326.97
0.10373,1018.50,1364.10
0.10429,1018.99,339.32
0.10485,1018.88,4028.30
0.10541,1023.51,-1282.91
0.10597,1017.44,-7051.58
0.10653,1015.60,373.67
0.10709,1017.86,-4692.48
0.10765,1010.33,2800.04
0.10822,1021.00,7330.40
0.10878,1018.56,2591.77
0.10934,1023.91,1761.17
0.10990,1020.54,-2958.55
0.11046,1020.59,-1164.84
0.11102,1019.23,3155.38
0.11158,1024.13,3501.51
0.11214,1023.16,-5258.33
0.11271,1018.23,-2121.55
0.11327,1020.78,2872.05
0.11383,1021.45,-2596.64
0.11439,1017.86,-380.34
0.11495,1021.03,1501.45
0.11551,1019.55,218.53
0.11607,1021.27,214.83
0.11663,1019.79,-4239.63
0.11719,1016.51,-2125.01
0.11776,1017.40,106.93
0.11832,1016.63,4711.92
0.11888,1022.69,927.36
0.11944,1017.68,745.35
0.12000,1023.53,10432.01
